Accesion No.,Book Title,Author,Rack No.,Classification,Condition,Copy,Source,Corrections
13400,Lowkika Nyayanjali - Part II,,R-5-A,R,G,OC,MAIN,
13401,Lowkika Nyayanjali - Part III,,R-5-A,R,D,OC,MAIN,
13402,Kumarasambhava (Full),Kalidasa,R-0-Z,F1,NA,OC,MAIN,
13404,Prabodha Chandrodayam,Krishna Misra,R-9-A,I,D,OC,MAIN,
13408,Kavyamala,D P Parab,R-14-E,R,G,OC,MAIN,
13417,Dasarupaka,Dhananjaya (Ed. NS Press - By Parab),R-13-F,I1,G,OC,MAIN,
13419,Kuvalayananda,N.S. Press,R-0-Z,J,NA,OC,MAIN,
13421,Natya Sastra,Bharata Muni,R-14-B,J,G,OC,MAIN,
13432,Dhvanyaloka,Gupta,R-0-Z,J,NA,OC,MAIN,
13433,Sisupalavadha,Magha,R-5-A,F1,D,OC,MAIN,
13434,Pratimanataka,Calcutta Ed,R-9-A,I,G,OC,MAIN,
13619,Aitareyopanishad,Swami Sarvananda,R-1-B,C6,D,OC,MAIN,
13850,The Dharmasastra Text Vol 1,Manmatha Nath Dutt,R-1-D,A5,D,OC,MAIN,
13851,The Dharmasastra Text Vol 2,Manmatha Nath Dutt,R-1-D,A5,D,OC,MAIN,
13874,Prabhoda Candrodayam,Krishnana Misra,R-10-E,I,G,OC,MAIN,
13877,Kadambari,Vaidya,R-7-B,G,D,OC,MAIN,
13880,Vrittharatnakara,Kedara Bhatta,R-0-Z,B2,NA,OC,MAIN,
13888,Veni Samhara  A Critical Study,Gajendra Gadgar (Batta Narayana),R-14-A,I,D,OC,MAIN,
14016,Shubhasita Niti,Ed M T Narasimha Iyangar (Vedanta Dikshitar),R-9-C,F2,G,OC,MAIN,
14670,A Guide To The Study of Bana's Kadambari Sangraha - Uttrardha,Venkatakrishna Rao U,R-9-C,G,G,OC,MAIN,
14688,Sanskrit Translation of BooK I,Gopala Iyengar,R-15-C,O,G,OC,MAIN,
14690,Sanskrit Transilation Book I,V Gopala Iyengar,R-15-C,O,G,OC,MAIN,
15136,Agni And Other Poems And Translations,C Subramanya Bharathi,R-1-C,A6,D,OC,MAIN,
15404,Sri Tyagaraja Carita,T S Sundaresasarma,R-3-D,F1,D,OC,MAIN,
15534,Tonivilakku,PSS Sastry,R-13-B,J,G,OC,MAIN,
15601,Nagananda,S R Sastri,R-9-C,I,G,OC,MAIN,
16135,Yadavabhyudaya Vol II,Ed. Srinivasa Gopalan,R-0-Z,F1,NA,OC,MAIN,
16144,Kadambari,Bana Bhatta,R-9-E,G,D,OC,MAIN,
16152,History of Sanskrit Literature - Vol I,Keith A B,R-0-Z,K,NA,OC,MAIN,
16153,Kumarasambhava,Kalidasa,R-5-B,F1,G,OC,MAIN,
16154,Kalidasa,Prof Jhala,R-3-B,M1,D,OC,MAIN,
16722,Kalidasiya Nataka Kathamanjari,Pandit K L V Sastri,R-9-D,G,G,OC,MAIN,
16765,Sanskrit English Dictionary,Minier Williams,R-6-B,R,G,OC,MAIN,
16818,AnHand Book ClassicaL Sanskrit Lit,Venkatakrishna Rao,R-0-Z,K,NA,OC,MAIN,
16841,History of Sanskrit Poetics & Sahitya Darpana,P V Kane,R-0-Z,J,NA,OC,MAIN,
17335,The Kavyakalpalata Vritti,Amarachandrayati,R-13-D,J,G,OC,MAIN,
17346,Kavyalankara,Bhamaha,R-13-B,J,G,OC,MAIN,
17401,Bhoja's Sringara Prakasha,Dr V Ragavan,R-13-E,J,G,OC,MAIN,
17402,Srimat Sankara Digvijaya,Vinayaka Ganesha Apte,R-14-A,F1,D,OC,MAIN,
17638,Namalinganusasanam,Amarasimha,R-0-Z,B5,NA,OC,MAIN,
17834,Vedartha Sangraha,Ramanuja Charya,R-0-Z,C6,NA,OC,MAIN,
18012,Uttara Ramacharita,K G Bhat,R-9-A,I,G,OC,MAIN,
18165,The Secret of Recognition (Pratyabhijnahrdayam),Abhinava Gupta (English Translation By Kurt F Heidecker),R-1-F,C8,G,OC,MAIN,
18178,Naishada - Traslation,Handiqui,R-14-D,F1,G,OC,MAIN,
18199,Soundarananda of Aswagosha,E H Johnston,R-14-C,F1,G,OC,MAIN,
18226,Lectures On Patanjali MahaBhashya,PSS Shastry,R-3-D,B6,D,OC,MAIN,
18865,Naishadham  I To III Cantos,Sri Harsha,R-14-D,F1,D,OC,MAIN,
20674,Nyayadarshana,Gouthama,R-0-Z,C2,NA,OC,MAIN,
21748,Raghuvamsha,Kalidasa,R-0-Z,F1,NA,OC,MAIN,
21842,Dhammapadam Or Aravazhi,M R Appathurai,R-2-D,C7,NA,OC,MAIN,
21880,BrahmaSutra Sankara Bhashya Vol I (Sacred Books of The East Series),George Thibavi,R-0-Z,C6,NA,OC,MAIN,
21893,Biographics of WRS And Lore of Aryas,Max Muller,R-15-D,R,G,OC,MAIN,
21895,Siddhanta Kaumudi,Chandrasekhara Sastrigal,R-0-Z,B6,NA,OC,MAIN,
21900,Naisada Charitram,Handiqui,R-3-D,F1,NA,OC,MAIN,
21901,The Philosophy of Upanishad,Duessan Paul,R-0-Z,C6,NA,OC,MAIN,
21902,Systems of Sanskrit Grammar,Belvalkar,R-4-B,B6,D,OC,MAIN,
21909,Tarka Sangraha,Annambhatta,R-0-Z,C2,NA,OC,MAIN,
21910,Tarka Sangraha,Ed. Balamanorama,R-2-A,C2,G,OC,MAIN,
21911,Tarka Sangraha,Dalve,R-5-B,C2,G,OC,MAIN,
21912,History of Indian Literature,A Weber,R-14-A,K,G,OC,MAIN,
21920,The Alankara Manittara Part II,Sri Krishna Brahmatantra Parakala - Swamin,R-13-D,J,G,OC,MAIN,
21923,The Artic Home In Vedas,B G Thilak,R-1-C,A6,G,OC,MAIN,
21929,Sarngadhara Paddathi,,R-14-E,F2,G,OC,MAIN,
21939,History of Sanskrit Literature - Vol I,S N Das Gupta,R-14-B,K,D,OC,MAIN,
21954,Vedic Grammar For Students,A A MacDonell MA Phd,R-15-C,B6,G,OC,MAIN,
21955,Comparative Grammar  Vol I,Professor F Bopp,R-15-C,B6,G,OC,MAIN,
21956,Comparative Grammar  Vol II,Professor F Bopp,R-15-C,B6,G,OC,MAIN,
21957,Comparative Grammar  Vol III,Professor F Bopp,R-15-C,B6,G,OC,MAIN,
21958,An Introduction To Comparative Philology,Guune ( P D),R-10-C,L,G,OC,MAIN,
21960,Artha Sangraha,Baskara,R-5-C,C5,G,OC,MAIN,
21963,Tarka Sangraha,Athalye,R-5-A,C2,G,OC,MAIN,
21965,Sankhya System,Keith A B,R-4-F,C3,D,OC,MAIN,
21966,Prakrit Languages,Katre,R-10-C,L,G,OC,MAIN,
21967,Prakrit Languages,Katre,R-10-C,L,G,OC,MAIN,
21971,Art Experience,Hiriyanna,R-5-C,M,G,OC,MAIN,
21972,Types of Sanskrit Drama,Mankad,R-13-C,I,G,OC,MAIN,
22022,Prakatarthavivaranam (Brahmasutrasankara Bhashya Vyakyanam),T R Chintamani,R-2-B,C6,G,OC,MAIN,
22042,Lectures On Patanjali MahaBhashya,P S S Sastry,R-3-D,B6,G,OC,MAIN,
22044,Jagannathapanditha - A Study,V A R Sastri,R-7-A,J1,D,OC,MAIN,
22053,Vedanta Rakshamani,Anantakrishna Sastri M,R-2-B,C6,G,OC,MAIN,
22058,Philosophy of Bhedabheda,Srinivasachary P N,R-2-D,C8,G,OC,MAIN,
22064,Number of Rasas,Raghavan V,R-13-E,J,G,OC,MAIN,
22069,Premavijayam,T S Sundaresasarma,R-9-D,I,G,OC,MAIN,
22089,Two Vajrayana Works,B Bhattacharyya,R-2-D,C7,G,OC,MAIN,
22091,Kavyalankara Sara Sangraha  Ed  By K S  Ramaswami Sastriar,Udbhata,R-13-D,J,G,OC,MAIN,
22096,Natyashastra,Gaekwad,R-13-E,J,G,OC,MAIN,
22099,Taittriya Upanishad,Anandashrama,R-3-D,C6,D,OC,MAIN,
22105,Vaisakanyayamala,Vinayaka Ganesha Apte,R-2-C,C6,G,OC,MAIN,
22110,Agnipurana,Ed. Anandashrama,R-8-C,E,G,OC,MAIN,
22113,Samkshepa Sarirakam,Ramthirtha,R-2-B,C6,G,OC,MAIN,
22126,The Advaita Siddhi (With The Guruchandrika) Vol 1,Madhusudhana Saraswati,R-5-B,C6,G,OC,MAIN,
22127,The Advaita Siddhi (With The Guruchandrika) Vol 2,Madhusudhana Saraswati,R-1-E,C6,D,OC,MAIN,
22128,The Advaita Siddhi (With The Guruchandrika) Vol 3,Madhusudhana Saraswati,R-2-C,C6,G,OC,MAIN,
22132,History of Dharma Sastra,Govt BORI,R-1-D,A5,D,OC,MAIN,
22133,Position of Women In Hindu Civilisation,Altekar,R-1-F,M,G,OC,MAIN,
22148,Regional Philosophy of The Veda & Upanishad   Part   I,Keith,R-1-C,A6,G,OC,MAIN,
22149,Regional Philosophy of The Veda & Upanishad   Part   I,Keith,R-1-C,A6,G,OC,MAIN,
22177,Language   -  Its Nature  Its Development And Origin,Jespersonotto,R-5-B,L,G,OC,MAIN,
22181,Some Problems of Historical Linguistics In Indo Ariyan,Katre,R-10-C,L,G,OC,MAIN,
22182,Some Problems of Historic Linguistics In Indo Ariyan,S M Katre,R-10-C,L,G,OC,MAIN,
22183,Chitramimamsa,Ed. NS Press,R-3-C,J,D,OC,MAIN,
22187,Kavyalankara Sara Sangraha  Ed  By Banbath Sangraha,Udbhata,R-1-F,J,G,OC,MAIN,
22188,Linguistic Introduction To Sanskrit,Gosh,R-1-F,L,D,OC,MAIN,
22192,Nirukta,Yaska,R-1-D,B5,D,OC,MAIN,
22194,Nirukta Ede By V K Rajavade,Yaska,R-0-Z,B5,NA,OC,MAIN,
22195,Sankhya Karika,Isvara Krishna,R-0-Z,C3,NA,OC,MAIN,
22196,The Philosophy of Grammar,Jespersonotto,R-1-E,B6,G,OC,MAIN,
22197,India In Kalidasa,BS Upadhyaya,R-0-Z,M1,NA,OC,MAIN,
22199,Kavyanusasana Vol 2,Acharya Hemachandra,R-13-D,J,G,OC,MAIN,
22201,Kamasutra,Ed. Chowkamba,R-10-D,C8,G,OC,MAIN,
22205,Sataka Triyam,Bhartrihari,R-0-Z,F2,NA,OC,MAIN,
22207,Sri Saririka Mimamsa Bhashya Part II,Ramanuja,R-2-A,C6,G,OC,MAIN,
22210,Highways And Byeways of Literary Criticism,SK Shastri,R-13-E,R,G,OC,MAIN,
22211,A Primar of Indian Logic,Sri Kuppusamy Sastriyar,R-3-E,C2,D,OC,MAIN,
22212,Compromises In The History of Advaithic Thought,Sri Kuppusamy Sastriyar,R-2-C,C6,D,OC,MAIN,
22213,Dhvanyaloka,K.S.R.I Publication,R-0-Z,J,NA,OC,MAIN,
22215,Karikavali,Viswanatha,R-2-A,C2,G,OC,MAIN,
22217,Brahma Sutras,Visweswarananda,R-2-B,C6,G,OC,MAIN,
22218,Memamsa Paribhasa,Lagvan,R-1-F,C5,D,OC,MAIN,
22221,Elements of The Science of Language,Taratorewala,R-0-Z,L,NA,OC,MAIN,
22222,Isavasyopanishad,Vinayaka Ganesha Apte,R-1-B,C6,G,OC,MAIN,
22223,Kenopanishad,Vinayaka Ganesha Apte,R-1-B,C6,G,OC,MAIN,
22224,Katakopanishad,,R-5-C,C6,G,OC,MAIN,
22227,Mandukyopanishad With Gaudapada's Commentry,Vinayaka Ganesha Apte,R-1-B,C6,G,OC,MAIN,
22243,Sanskrit Comic Characters,Parikh,R-9-C,I,G,OC,MAIN,
22245,History of Sanskrit Literature,Venkatrama Sastri R S,R-14-A,K,G,OC,MAIN,
22246,History of Literature,Varadachari,R-0-Z,K,NA,OC,MAIN,
22249,Niruktha of Yaska,Baskshi,R-1-D,B5,G,OC,MAIN,
22279,Panini Sutravyakhya With Illustrative Verses Vol I,Viraraghavacarya Of Manalur (Ed. Go. Mss Lib),R-14-A,B6,G,OC,MAIN,
22284,Introduction To Comparative Philology,Gune,R-10-C,L,G,OC,MAIN,
22290,Sanskrit Drama,Keith,R-0-Z,I,NA,OC,MAIN,
22291,Vedic Reader,Macdonall,R-1-D,A1,G,OC,MAIN,
22292,A Vedic Reader For Students,Macdonall,R-5-E,A1,D,OC,MAIN,
22338,Reign of Realism In Indian Philosophy,Nagaraja Sarma,R-1-F,C9,G,OC,MAIN,
22365,Memamsa Nyana Prakasa,Apadeva,R-1-F,C5,D,OC,MAIN,
22369,Paribasendusekhara,Nagesa Bhatta,R-15-C,B6,G,OC,MAIN,
22373,The Vakyapadiya (3Rd Kanda) Part II,Helaraja,R-15-C,B6,G,OC,MAIN,
22377,India As Known To Panini,Agarwala,R-3-B,B7,D,OC,MAIN,
22381,Kuvalayananda,Appayya Dikshita,R-13-B,J,G,OC,MAIN,
22382,Vykarana Maha Bashyam  I Kanda,Patanjali,R-8-B,B6,G,OC,MAIN,
22383,Vyakarana Maha Bashya  Vol  I,Patanjali,R-15-B,B6,G,OC,MAIN,
22384,Siddantha Kaumudhi Tatva Bodhini Teeka,Bhattoji Diksithar,R-15-A,B6,D,OC,MAIN,
22385,Introduction To Indian Textual Criticism,SM Khatre,R-10-E,R,G,OC,MAIN,
22386,Soundarananda Kavya,Ashvaghosha,R-0-Z,F1,NA,OC,MAIN,
22389,Phakkika Ratna Manjusha,Kanakalal Sarma,R-15-C,B6,G,OC,MAIN,
22390,Ratnavalli - Ray,Sri Harsha,R-9-C,I,G,OC,MAIN,
22393,Meghadutam,S Rajan Ray,R-3-E,F2,D,OC,MAIN,
22395,Sisupalavadha Canto I,Ed. S. Ray,R-4-F,F1,TBR,OC,MAIN,
22397,Siddhanta Kaumudi,Kumud Ranjan Ray M A,R-3-B,B6,D,OC,MAIN,
22399,Siddhanta Kaumudi Vol II Part I,Battoji Dikshita,R-15-A,B6,G,OC,MAIN,
22400,Siddhanta Kaumudi,Kumud Ranjan Ray M A,R-4-D,B6,NA,OC,MAIN,
22402,Siddhanta Kaumudi Vol III Part II,Kumud Ranjan Ray M A,R-15-A,B6,D,OC,MAIN,
22403,Vyakarana Siddhanta Kaumudi,Battoji Dikshita,R-15-B,B6,G,OC,MAIN,
22405,Siddhanta Kaumudi,Rays,R-3-B,B6,D,OC,MAIN,
22495,Malavikagnimitram,Karmarkar,R-0-Z,I,NA,OC,MAIN,
22498,An Introduction To Mudra Rakshasa,Devasthali,R-0-Z,I,NA,OC,MAIN,
22515,Vikramorvasiyam - CSR Shastry,Kalidasa,R-3-E,I,G,OC,MAIN,
22518,Ratnavalli - CSR Shastry,Sri Harsha,R-9-C,I,G,OC,MAIN,
22519,Kumarasambhava V Canto,Kalidasa,R-5-E,F1,D,OC,MAIN,
22520,Kumarasambhava V Canto,Kalidasa,R-0-Z,F1,NA,OC,MAIN,
22521,Kadambari,Bhatta,R-0-Z,G,NA,OC,MAIN,
22526,Vikramorvasiyam - CSR Shastry,Kalidasa,R-0-Z,I,NA,OC,MAIN,
22551,Kadambari Sangraha,Abhinava Bana,R-9-B,G,G,OC,MAIN,
22560,Khandana Khanda Khadya,Sri Harsha,R-2-B,C6,G,OC,MAIN,
22561,Khandana Khanda Khadya,Sri Harsha,R-2-C,C6,G,OC,MAIN,
22563,Bhagavat Gita,Pansikar,R-0-Z,C6,NA,OC,MAIN,
22570,Sri Saririka Mimamsa Bhashya Part I,Ramanuja,R-4-F,C6,D,OC,MAIN,
22571,Sri Saririka Mimamsa Bhashya Part II,Ramanuja,R-4-F,C6,D,OC,MAIN,
22574,Meghasandesa,Kalidasa,R-3-C,F2,G,OC,MAIN,
22575,Brahmasutra Vritti,Sadasivendra Saraswati,R-3-F,C6,G,OC,MAIN,
22584,Abhisekanataka Etc,Trivandrum Ed,R-9-A,I,G,OC,MAIN,
22585,Vedantha Paribasha,Dharmaraja Dwarindra,R-2-C,C6,G,OC,MAIN,
22588,Sarvadarshana Sangraha,Sayana,R-2-C,C8,G,OC,MAIN,
22589,Kumarasambhava,Sri Madh Girinatha,R-14-F,F1,G,OC,MAIN,
22590,Laghu Siddhanta Kaumudi,Varadaraja,R-8-B,B6,G,OC,MAIN,
22594,Bibliography of Sanskrit Drama,Schuyler M,R-6-B,R,G,OC,MAIN,
22604,Siddhanta Kaumudi of Sri Bhatoji Deekshita,Chandrasekhara Sastrigal (Ed),R-15-A,B6,G,OC,MAIN,
22607,"Roots, Verbs Forms of Primary Derivatives of The Sanskrit Language",Whitney,R-10-C,B6,G,OC,MAIN,
22610,Nyaya Raksha Mani,Appaya Dikshitha,R-2-C,C2,G,OC,MAIN,
22611,Aitareya Brahmana,Vol II,R-1-B,A2,G,OC,MAIN,
22618,Pathanjala Yoga Sutra,Vachaspathi Misra,R-5-E,C4,D,OC,MAIN,
22625,Budhacharita of Aswaghosha,Cowell,R-14-C,F1,G,OC,MAIN,
22628,Abhijnana Sakuntalam,Kalidasa,R-0-Z,I,NA,OC,MAIN,
22651,Minor Poems Laghu Kavyani,Nilakanta Dikshitar,R-8-B,F2,G,OC,MAIN,
22654,Dasarupaka of Dhananjaya,Ed. Haas,R-12-C,I1,G,OC,MAIN,
22655,Yadababhyudaya,Vedanta Desika,R-15-D,F1,G,OC,MAIN,
22657,Rigveda,Kaeig,R-1-C,A1,D,OC,MAIN,
22663,Brahmasutra Bashya,Sankaracharya,R-2-C,C6,G,OC,MAIN,
22867,Lectures On Patanjali's Maha Bashya  Vol  III,P S S Sastri,R-15-C,B6,G,OC,MAIN,
22869,Paninisutravyakhya Vol II Vttarardham,Viraraghavacarya Of Manalur  (Ed. Go. Mss Lib),R-15,B6,G,OC,MAIN,
22874,Bharta Kosa,Ramakrishna Kavi,R-3-A,R,G,OC,MAIN,
22877,Avanti Sundari Katha,Kuranjan Pillai S,R-9-D,G,G,OC,MAIN,
22879,Katopanishad Bashya,Varadachari,R-4-F,C6,D,OC,MAIN,
22880,Balacharitam,Bhasa,R-9-A,I,G,OC,MAIN,
22884,Vedanthasaraha,Ramanuja,R-0-Z,C6,NA,OC,MAIN,
22885,Vedartha Sangraha,Ramanuja Charya,R-0-Z,C6,NA,OC,MAIN,
22890,Siddhanta Kaumudi  of Bhattoji Dikshita,S C Vasu,R-15-B,B6,G,OC,MAIN,
22891,Upanishadbhashya,Works Of Sankara Vol II,R-3-C,C6,D,OC,MAIN,
22892,Siddhanta Kaumudi  of Bhattoji Dikshita,S C Vasu,R-15-B,B6,D,OC,MAIN,
22893,Siddhanta Kaumudi  of Bhattoji Dikshita,S C Vasu,R-15-B,B6,G,OC,MAIN,
22894,Siddhanta Kaumudi  of Bhattoji Dikshita,S C Vasu,R-15-B,B6,D,OC,MAIN,
22895,Siddhanta Kaumudi  of Bhattoji Dikshita,S C Vasu,R-15-B,B6,D,OC,MAIN,
22896,Siddhanta Kaumudi  of Bhattoji Dikshita,S C Vasu,R-15-B,B6,G,OC,MAIN,
22899,Panini - His Place In Sanskrit Literature,T Goldstucker,R-8-D,B7,G,OC,MAIN,
22916,Vaisheshika Sutras,Nandalal Sinha,R-0-Z,C1,NA,OC,MAIN,
22921,Vedanta & Purva Mimamsa  Vol II,Max Muller,R-0-Z,C8,NA,OC,MAIN,
22922,Indian Philosophy Sankhya And Yoga Vol   III,Max Muller,R-4-F,C8,D,OC,MAIN,
22923,Nyaya Vaiseshika   Vol IV,Max Muller,R-0-Z,C8,NA,OC,MAIN,
22924,Laghusidhantha Koumudhi Part I,V V Mirashi M A,R-15-C,B6,D,OC,MAIN,
22925,Life of Ancient India,A Kaegi,R-10-A,M,G,OC,MAIN,
22926,Phonotics In Ancient India,Allen,R-10-C,L,G,OC,MAIN,
22927,Vedic Chronology & Vedanga Jyothisha,Tilak B J,R-1-E,B3,D,OC,MAIN,
22928,Aithreya Brahmanas,Sayana,R-1-B,A2,D,OC,MAIN,
22929,Aitareya Brahmana,Ed. Anandasarma,R-1-B,A2,D,OC,MAIN,
22931,Rigveda Pratisakhya  Vol  II,M D Shastri,R-5-D,A1,G,OC,MAIN,
22936,Naisshkarmya Siddhi,Sureshvaracharya,R-0-Z,C6,NA,OC,MAIN,
22937,BrahmaSutra Sankara Bhashya,Anantakrishna Sastri M,R-0-Z,C6,NA,OC,MAIN,
22940,Sanskrit Language,Burrow,R-1-F,L,D,OC,MAIN,
22941,Sanskrit Drama In Its Origin Develpment Thery And Period,Keith A B,R-14-A,I,G,OC,MAIN,
22942,Rigveda Bashya Upakramanika,Sayana,R-1-B,A1,D,OC,MAIN,
22943,Bhamini Vilasa,Har Dutt Sharma (Ed. Puna),R-13-A,F2,G,OC,MAIN,
22947,Indianisam And Its Expansion,Thomas,R-10-B,M,G,OC,MAIN,
22949,Sanskrit Literature,K.Chandrasekharan And VH Subramanya Sastry,R-0-Z,K,NA,OC,MAIN,
22950,Similes of Kalidasa,Chellappan Pillai,R-14-C,M1,G,OC,MAIN,
22951,Gita Govindam,Jayadeva,R-14-A,F2,G,OC,MAIN,
22952,Uttara Rama Charita,Ed Belvalkar,R-9-A,I,G,OC,MAIN,
22953,Sisupala Vadham,Magha,R-1-F,F1,G,OC,MAIN,
22954,Purana Visya Samanukramanika,Visweswaranand Institute Publication,R-6-A,E1,G,OC,MAIN,
22955,Meghasandesam,G J Somayaji,R-14-C,F2,G,OC,MAIN,
22958,Kalidasa,KRS Shastri,R-14-D,M1,G,OC,MAIN,
22959,Sanskrit Studies,Hiriyanna,R-15-D,M,G,OC,MAIN,
22960,Yogavasishtam Vol I,Valmiki,R-0-Z,C6,NA,OC,MAIN,
